date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-06 20:54:49,CCHQPress,,6,10,20,"And that four day week would cost the NHS £6 billion a year #BBCDebate https://www.express.co.uk/news/uk/1212520/labour-news-john-mcdonnell-four-day-week-jeremy-corbyn-general-election-2019-spt",,,#BBCDebate,1203055212514217986,https://twitter.com/CCHQPress/status/1203055212514217986
2019-12-06 20:54:12,CCHQPress,,24,42,85,"Labour's 4 day week would cause staff shortages at hospitals and cost our NHS over £6 billion a year #BBCDebate",,,#BBCDebate,1203055060927864834,https://twitter.com/CCHQPress/status/1203055060927864834
2019-12-06 20:54:11,CCHQPress,,17,46,94,".@jeremycorbyn says @UKLabour have no plan to bring in a four day working week for the NHS.... Not what your right hand man @johnmcdonnellMP said #BackBoris #BBCDebate",,@jeremycorbyn @UKLabour @johnmcdonnellMP,#BackBoris #BBCDebate,1203055054447611906,https://twitter.com/CCHQPress/status/1203055054447611906
2019-12-06 20:52:34,CCHQPress,,6,13,41,"We will deliver 50,000 more nurses in our NHS and introduce a new NHS visa, ensuring we can recruit the best staff from abroad #BBCDebate #BackBoris",,,#BBCDebate #BackBoris,1203054649173000193,https://twitter.com/CCHQPress/status/1203054649173000193
2019-12-06 20:52:24,CCHQPress,,24,18,60,".@Conservatives will build 40 new hospitals and are upgrading 20 more – ensuring extra funding goes straight to the front line #BBCDebate",,@Conservatives,#BBCDebate,1203054605409673218,https://twitter.com/CCHQPress/status/1203054605409673218
2019-12-06 20:51:29,CCHQPress,,14,11,29,".@Conservatives are increasing NHS funding by £33.9 billion – the biggest cash boost in its history #BBCDebate",,@Conservatives,#BBCDebate,1203054373984751616,https://twitter.com/CCHQPress/status/1203054373984751616
2019-12-06 20:50:51,CCHQPress,,4,12,34,".@jeremycorbyn is refusing to even take a position on Brexit - the biggest issue in this election. Without a plan to get Brexit done he simply has no credibility on anything else #BBCDebate",,@jeremycorbyn,#BBCDebate,1203054217277169665,https://twitter.com/CCHQPress/status/1203054217277169665
2019-12-06 20:50:04,CCHQPress,,36,66,169,"As @BorisJohnson says it's ""inconceivable"" to think you could negotiate a deal with the EU if you can't take a position on it. #BBCDebate",,@BorisJohnson,#BBCDebate,1203054021285761024,https://twitter.com/CCHQPress/status/1203054021285761024
2019-12-06 20:47:01,CCHQPress,,45,103,237,"Corbyn pretends to care about Northern Ireland but he has always supported the IRA. Our deal fully protects NI’s place in the Union and the Good Friday Agreement #BackBoris #GetBrexitDone #BBCDebate",,,#BackBoris #GetBrexitDone #BBCDebate,1203053251647676416,https://twitter.com/CCHQPress/status/1203053251647676416
2019-12-06 20:44:59,CCHQPress,,94,226,488,"Don't forget @jeremycorbyn promised to respect the result of the referendum his 2017 manifesto Now he wants another referendum If @UKLabour can't respect the last referendum why would they respect another one? #GetBrexitDone #BackBoris #BBCDebate",,@jeremycorbyn @UKLabour,#GetBrexitDone #BackBoris #BBCDebate,1203052739200241664,https://twitter.com/CCHQPress/status/1203052739200241664
